id,text,category,response_type,description,response_format,agreement_options,importance_options,importance_direct_options,custom_agreement_labels,custom_importance_direct_labels,order_index,created_at,updated_at,priority_options,municipality_id
lng_enjeux_prioritaires,"Parmi les enjeux suivants, lesquels sont vos 3 priorités municipales les plus importantes ? (Classez par ordre d'importance : 1er, 2e et 3e choix)",Priorités municipales,priority_ranking,Sélectionnez vos 3 enjeux municipaux prioritaires et classez-les par ordre d'importance.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,21,2025-09-24 01:07:17.806826+00,2025-09-24 01:07:17.806826+00,"[""Transport et mobilité"",""Logement abordable"",""Environnement et espaces verts"",""Sécurité publique"",""Gestion des finances municipales"",""Services municipaux"",""Lutte aux changements climatiques"",""Patrimoine et identité"",""Transport métropolitain"",""Développement aéroportuaire""]",longueuil
lng_q10_transition_carboneutre,"La Ville de Longueuil devrait accélérer la transition des bâtiments ""carboneutres"" (qui n'ajoutent pas de pollution au climat), même si ça coûte plus cher.",Environnement et développement durable,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,10,2025-09-24 01:07:17.806826+00,2025-09-24 01:07:17.806826+00,,longueuil
lng_q11_reduction_dechets,La Ville de Longueuil devrait améliorer la collecte des ordures au lieu de la réduire pour des raisons environnementales.,Environnement et développement durable,agreement,Cette question évalue la priorité accordée aux services municipaux (collecte) par rapport à la réduction des collectes justifiée par l'environnement.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,11,2025-09-24 01:07:17.806826+00,2025-09-24 01:07:17.806826+00,,longueuil
lng_q12_augmentation_taxes,"La Ville de Longueuil devrait investir davantage dans des projets écoresponsables (énergie verte, transport durable, bâtiments écologiques), même si cela nécessite d'augmenter les taxes foncières (impôt sur la propriété).",Gouvernance et finances municipales,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,12,2025-09-24 01:07:17.806826+00,2025-09-24 01:07:17.806826+00,,longueuil
lng_q13_pouvoir_conseils_quartier,La Ville de Longueuil devrait donner plus de pouvoir aux conseils d'arrondissement pour décider des projets locaux.,Gouvernance et finances municipales,agreement,Cette question évalue la priorité accordée à la décentralisation de la gouvernance municipale.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,13,2025-09-24 01:07:17.806826+00,2025-09-24 01:07:17.806826+00,,longueuil
lng_q14_reduction_dette,"La Ville de Longueuil devrait prioriser l'amélioration des services essentiels (collecte des ordures, déneigement, etc.) avant d'investir dans des projets d'avenir.",Gouvernance et finances municipales,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,14,2025-09-24 01:07:17.806826+00,2025-09-24 01:07:17.806826+00,,longueuil
lng_q15_avantages_fiscaux_entreprises,La Ville de Longueuil devrait offrir plus de réductions de taxes ou autres avantages fiscaux pour attirer de grandes entreprises.,Développement économique et social,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,15,2025-09-24 01:07:17.806826+00,2025-09-24 01:07:17.806826+00,,longueuil
lng_q16_limitation_touristes,La Ville de Longueuil devrait limiter le nombre de touristes dans certains arrondissements pour protéger la qualité de vie des résidents.,Développement économique et social,agreement,Cette question mesure la priorité accordée à l'équilibre entre tourisme et vie locale.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,16,2025-09-24 01:07:17.806826+00,2025-09-24 01:07:17.806826+00,,longueuil
lng_q17_soutien_organismes_communautaires,"La Ville de Longueuil devrait donner plus d'argent aux organismes communautaires qui aident pour des services sociaux essentiels (itinérance, aide alimentaire, etc).",Développement économique et social,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,17,2025-09-24 01:07:17.806826+00,2025-09-24 01:07:17.806826+00,,longueuil
lng_q18_augmentation_effectifs_policiers,Il faudrait augmenter le nombre de policiers pour améliorer la sécurité dans les arrondissements de Longueuil.,Sécurité publique et services municipaux,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,18,2025-09-24 01:07:17.806826+00,2025-09-24 01:07:17.806826+00,,longueuil
lng_q19_investissement_infrastructures_loisirs_sportives,"La Ville de Longueuil devrait investir plus dans les parcs, arénas et terrains de sport d'arrondissement.",Sécurité publique et services municipaux,agreement,Cette question évalue la priorité accordée aux services de proximité.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,19,2025-09-24 01:07:17.806826+00,2025-09-24 01:07:17.806826+00,,longueuil
lng_q2_pistes_cyclables,"La Ville de Longueuil devrait développer davantage les pistes cyclables, même si cela réduit l'espace pour les voitures.",Mobilité et transport,agreement,Cette question évalue la priorité accordée aux transports actifs versus l'automobile.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,2,2025-09-24 01:07:17.806826+00,2025-09-24 01:07:17.806826+00,,longueuil
lng_q20_protection_patrimoine,"La Ville de Longueuil devrait renforcer les règles qui protègent les vieux bâtiments et le patrimoine de banlieue, même si cela limite certains projets.",Patrimoine et identité,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,20,2025-09-24 01:07:17.806826+00,2025-09-24 01:07:17.806826+00,,longueuil
lng_q4_priorite_mobilite_active,"Pour améliorer l'attractivité du centre-ville de Longueuil, la priorité devrait être donnée aux piétons, cyclistes et au transport collectif, même si cela implique de réduire l'espace dédié à l'automobile (stationnements, voies de circulation, etc.).",Mobilité et transport,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,4,2025-09-24 01:07:17.806826+00,2025-09-24 01:07:17.806826+00,,longueuil
lng_q5_quotas_logements_abordables,La Ville de Longueuil devrait obliger un nombre minimum de logements abordables dans chaque nouveau projet immobilier.,Habitation et aménagement urbain,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,5,2025-09-24 01:07:17.806826+00,2025-09-24 01:07:17.806826+00,,longueuil
lng_q6_reduction_depenses_taxes,La Ville de Longueuil devrait réduire ses dépenses et ses taxes pour respecter la capacité de payer des citoyens.,Gouvernance et finances municipales,agreement,Cette question évalue la priorité accordée à la réduction de la charge fiscale municipale.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,6,2025-09-24 01:07:17.806826+00,2025-09-24 01:07:17.806826+00,,longueuil
lng_q7_immeubles_grande_hauteur,Les immeubles de grande hauteur devraient être favorisés à Longueuil pour maximiser l'utilisation des terrains disponibles.,Habitation et aménagement urbain,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,7,2025-09-24 01:07:17.806826+00,2025-09-24 01:07:17.806826+00,,longueuil
lng_q8_interdire_essence_centre_ville,La Ville de Longueuil devrait interdire les véhicules à essence dans le centre-ville d'ici 2035.,Environnement et développement durable,agreement,Cette question évalue la priorité accordée aux mesures environnementales radicales en mobilité urbaine.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,8,2025-09-24 01:07:17.806826+00,2025-09-24 01:07:17.806826+00,,longueuil
lng_q9_protection_espaces_verts,"La Ville de Longueuil devrait mettre plus d'argent pour protéger et agrandir les espaces verts, même si cela nuit au développement de projets immobiliers.",Environnement et développement durable,agreement,Cette question évalue la priorité accordée aux espaces verts face à la pression immobilière.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,9,2025-09-24 01:07:17.806826+00,2025-09-24 01:07:17.806826+00,,longueuil
lng_transport_metropolitain,"La Ville de Longueuil devrait investir davantage dans l'amélioration du transport collectif métropolitain vers Montréal (métro, autobus, REM), même si cela nécessite d'augmenter les taxes municipales.",Mobilité et transport,agreement,Cette question évalue la priorité accordée au transport métropolitain face aux contraintes budgétaires municipales.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,1,2025-09-24 01:07:17.806826+00,2025-09-24 01:07:17.806826+00,,longueuil
mtl_arrondissements_autonomie,"Les arrondissements devraient avoir plus d'autonomie pour décider de leurs priorités locales, même si cela complique la coordination à l'échelle de la ville.",Gouvernance et finances municipales,agreement,Cette question évalue la priorité accordée à la décentralisation versus la cohérence administrative.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,2,2025-09-24 00:00:22.29915+00,2025-09-24 00:00:22.29915+00,,montreal
mtl_enjeux_prioritaires,"Parmi les enjeux suivants, lesquels sont vos 3 priorités municipales les plus importantes ? (Classez par ordre d'importance : 1er, 2e et 3e choix)",Priorités municipales,priority_ranking,Sélectionnez vos 3 enjeux municipaux prioritaires et classez-les par ordre d'importance.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,22,2025-09-24 00:00:22.29915+00,2025-09-24 00:00:22.29915+00,"[""Transport et mobilité"",""Logement abordable"",""Environnement et espaces verts"",""Sécurité publique"",""Gestion des finances municipales"",""Services municipaux"",""Lutte aux changements climatiques"",""Patrimoine et identité"",""Extension du métro et REM"",""Gestion des festivals et événements"",""Coordination des arrondissements""]",montreal
mtl_festivals_equilibre,"La Ville devrait mieux encadrer les festivals et grands événements pour protéger la qualité de vie des résidents, même si cela réduit leur ampleur.",Développement économique et social,agreement,Cette question évalue l'équilibre entre l'attractivité touristique/culturelle et la qualité de vie résidentielle.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,3,2025-09-24 00:00:22.29915+00,2025-09-24 00:00:22.29915+00,,montreal
mtl_metro_rem,"La Ville de Montréal devrait prioriser l'extension du métro et l'intégration du REM, même si cela nécessite des investissements majeurs.",Mobilité et transport,agreement,Cette question évalue la priorité accordée au développement du transport collectif structurant face aux contraintes budgétaires.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,1,2025-09-24 00:00:22.29915+00,2025-09-24 00:00:22.29915+00,,montreal
mtl_q10_transition_carboneutre,"La Ville de Montréal devrait accélérer la transition des bâtiments ""carboneutres"" (qui n'ajoutent pas de pollution au climat), même si ça coûte plus cher.",Environnement et développement durable,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,11,2025-09-24 00:00:22.29915+00,2025-09-24 00:00:22.29915+00,,montreal
mtl_q11_reduction_dechets,La Ville de Montréal devrait améliorer la collecte des ordures au lieu de la réduire pour des raisons environnementales.,Environnement et développement durable,agreement,Cette question évalue la priorité accordée aux services municipaux (collecte) par rapport à la réduction des collectes justifiée par l'environnement.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,12,2025-09-24 00:00:22.29915+00,2025-09-24 00:00:22.29915+00,,montreal
mtl_q12_augmentation_taxes,"La Ville de Montréal devrait investir davantage dans des projets écoresponsables (énergie verte, transport durable, bâtiments écologiques), même si cela nécessite d'augmenter les taxes foncières (impôt sur la propriété).",Gouvernance et finances municipales,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,13,2025-09-24 00:00:22.29915+00,2025-09-24 00:00:22.29915+00,,montreal
mtl_q13_pouvoir_conseils_quartier,La Ville de Montréal devrait donner plus de pouvoir aux conseils d'arrondissement pour décider des projets locaux.,Gouvernance et finances municipales,agreement,Cette question évalue la priorité accordée à la décentralisation de la gouvernance municipale.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,14,2025-09-24 00:00:22.29915+00,2025-09-24 00:00:22.29915+00,,montreal
mtl_q14_reduction_dette,"La Ville de Montréal devrait prioriser l'amélioration des services essentiels (collecte des ordures, déneigement, etc.) avant d'investir dans des projets d'avenir.",Gouvernance et finances municipales,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,15,2025-09-24 00:00:22.29915+00,2025-09-24 00:00:22.29915+00,,montreal
mtl_q15_avantages_fiscaux_entreprises,La Ville de Montréal devrait offrir plus de réductions de taxes ou autres avantages fiscaux pour attirer de grandes entreprises.,Développement économique et social,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,16,2025-09-24 00:00:22.29915+00,2025-09-24 00:00:22.29915+00,,montreal
mtl_q16_limitation_touristes,La Ville de Montréal devrait limiter le nombre de touristes dans certains quartiers pour protéger la qualité de vie des résidents.,Développement économique et social,agreement,Cette question mesure la priorité accordée à l'équilibre entre tourisme et vie locale.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,17,2025-09-24 00:00:22.29915+00,2025-09-24 00:00:22.29915+00,,montreal
mtl_q17_soutien_organismes_communautaires,"La Ville de Montréal devrait donner plus d'argent aux organismes communautaires qui aident pour des services sociaux essentiels (itinérance, aide alimentaire, etc).",Développement économique et social,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,18,2025-09-24 00:00:22.29915+00,2025-09-24 00:00:22.29915+00,,montreal
mtl_q18_augmentation_effectifs_policiers,Il faudrait augmenter le nombre de policiers pour améliorer la sécurité dans les arrondissements.,Sécurité publique et services municipaux,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,19,2025-09-24 00:00:22.29915+00,2025-09-24 00:00:22.29915+00,,montreal
mtl_q19_investissement_infrastructures_loisirs_sportives,"La Ville de Montréal devrait investir plus dans les parcs, arénas et terrains de sport de quartier.",Sécurité publique et services municipaux,agreement,Cette question évalue la priorité accordée aux services de proximité.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,20,2025-09-24 00:00:22.29915+00,2025-09-24 00:00:22.29915+00,,montreal
mtl_q2_pistes_cyclables,"La Ville de Montréal devrait développer davantage les pistes cyclables, même si cela réduit l'espace pour les voitures.",Mobilité et transport,agreement,Cette question évalue la priorité accordée aux transports actifs versus l'automobile.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,4,2025-09-24 00:00:22.29915+00,2025-09-24 00:00:22.29915+00,,montreal
mtl_q20_protection_patrimoine,"La Ville de Montréal devrait renforcer les règles qui protègent les vieux bâtiments et le patrimoine, même si cela limite certains projets.",Patrimoine et identité,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,21,2025-09-24 00:00:22.29915+00,2025-09-24 00:00:22.29915+00,,montreal
mtl_q4_priorite_mobilite_active,"Pour améliorer l'attractivité du centre-ville, la priorité devrait être donnée aux piétons, cyclistes et au transport collectif, même si cela implique de réduire l'espace dédié à l'automobile (stationnements, voies de circulation, etc.).",Mobilité et transport,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,5,2025-09-24 00:00:22.29915+00,2025-09-24 00:00:22.29915+00,,montreal
mtl_q5_quotas_logements_abordables,La Ville de Montréal devrait obliger un nombre minimum de logements abordables dans chaque nouveau projet immobilier.,Habitation et aménagement urbain,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,6,2025-09-24 00:00:22.29915+00,2025-09-24 00:00:22.29915+00,,montreal
mtl_q6_reduction_depenses_taxes,La Ville de Montréal devrait réduire ses dépenses et ses taxes pour respecter la capacité de payer des citoyens.,Gouvernance et finances municipales,agreement,Cette question évalue la priorité accordée à la réduction de la charge fiscale municipale.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,7,2025-09-24 00:00:22.29915+00,2025-09-24 00:00:22.29915+00,,montreal
mtl_q7_immeubles_grande_hauteur,Les immeubles de grande hauteur devraient être favorisés pour maximiser l'utilisation des terrains disponibles.,Habitation et aménagement urbain,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,8,2025-09-24 00:00:22.29915+00,2025-09-24 00:00:22.29915+00,,montreal
mtl_q8_interdire_essence_centre_ville,La Ville de Montréal devrait interdire les véhicules à essence dans le centre-ville d'ici 2035.,Environnement et développement durable,agreement,Cette question évalue la priorité accordée aux mesures environnementales radicales en mobilité urbaine.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,9,2025-09-24 00:00:22.29915+00,2025-09-24 00:00:22.29915+00,,montreal
mtl_q9_protection_espaces_verts,"La Ville de Montréal devrait mettre plus d'argent pour protéger et agrandir les espaces verts, même si cela nuit au développement de projets immobiliers.",Environnement et développement durable,agreement,Cette question évalue la priorité accordée aux espaces verts face à la pression immobilière.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,10,2025-09-24 00:00:22.29915+00,2025-09-24 00:00:22.29915+00,,montreal
q1_tramway,"La municipalité devrait investir davantage dans le projet de tramway, même si cela implique une hausse des taxes municipales.",Mobilité et transport,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,1,2025-08-29 13:05:28.007584+00,2025-08-29 13:05:28.007584+00,,quebec
q10_transition_carboneutre,"La Ville devrait accélérer la transition des bâtiments ""carboneutres"" (qui n'ajoutent pas de pollution au climat), même si ça coûte plus cher.",Environnement et développement durable,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,10,2025-08-29 13:05:28.007584+00,2025-08-29 13:05:28.007584+00,,quebec
q11_reduction_dechets,La Ville devrait améliorer la collecte des ordures au lieu de la réduire pour des raisons environnementales.,Environnement et développement durable,agreement,Cette question évalue la priorité accordée aux services municipaux (collecte) par rapport à la réduction des collectes justifiée par l'environnement.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,11,2025-08-29 13:05:28.007584+00,2025-08-29 13:05:28.007584+00,,quebec
q12_augmentation_taxes,"La Ville devrait investir davantage dans des projets écoresponsables (énergie verte, transport durable, bâtiments écologiques), même si cela nécessite d'augmenter les taxes foncières (impôt sur la propriété).",Gouvernance et finances municipales,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,12,2025-08-29 13:05:28.007584+00,2025-08-29 13:05:28.007584+00,,quebec
q13_pouvoir_conseils_quartier,La Ville devrait donner plus de pouvoir aux conseils de quartier pour décider des projets locaux.,Gouvernance et finances municipales,agreement,Cette question évalue la priorité accordée à la décentralisation de la gouvernance municipale.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,13,2025-08-29 13:05:28.007584+00,2025-08-29 13:05:28.007584+00,,quebec
q14_reduction_dette,"La Ville devrait prioriser l'amélioration des services essentiels (collecte des ordures, déneigement, etc.) avant d'investir dans des projets d'avenir.",Gouvernance et finances municipales,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,14,2025-08-29 13:05:28.007584+00,2025-08-29 13:05:28.007584+00,,quebec
q15_avantages_fiscaux_entreprises,La Ville devrait offrir plus de réductions de taxes ou autres avantages fiscaux pour attirer de grandes entreprises.,Développement économique et social,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,15,2025-08-29 13:05:28.007584+00,2025-08-29 13:05:28.007584+00,,quebec
q16_limitation_touristes,La Ville devrait limiter le nombre de touristes dans certains quartiers pour protéger la qualité de vie des résidents.,Développement économique et social,agreement,Cette question mesure la priorité accordée à l'équilibre entre tourisme et vie locale.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,16,2025-08-29 13:05:28.007584+00,2025-08-29 13:05:28.007584+00,,quebec
q17_soutien_organismes_communautaires,"La Ville devrait donner plus d'argent aux organismes communautaires qui aident pour des services sociaux essentiels (itinérance, aide alimentaire, etc).",Développement économique et social,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,17,2025-08-29 13:05:28.007584+00,2025-08-29 13:05:28.007584+00,,quebec
q18_augmentation_effectifs_policiers,Il faudrait augmenter le nombre de policiers pour améliorer la sécurité dans les quartiers.,Sécurité publique et services municipaux,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,18,2025-08-29 13:05:28.007584+00,2025-08-29 13:05:28.007584+00,,quebec
q19_investissement_infrastructures_loisirs_sportives,"La Ville devrait investir plus dans les parcs, arénas et terrains de sport de quartier.",Sécurité publique et services municipaux,agreement,Cette question évalue la priorité accordée aux services de proximité.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,19,2025-08-29 13:05:28.007584+00,2025-08-29 13:05:28.007584+00,,quebec
q2_pistes_cyclables,"La municipalité devrait développer davantage les pistes cyclables, même si cela réduit l'espace pour les voitures.",Mobilité et transport,agreement,Cette question évalue la priorité accordée aux transports actifs versus l'automobile.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,2,2025-08-29 13:05:28.007584+00,2025-08-29 13:05:28.007584+00,,quebec
q20_protection_patrimoine,"La Ville devrait renforcer les règles qui protègent les vieux bâtiments et le patrimoine, même si cela limite certains projets.",Patrimoine et identité,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,20,2025-08-29 13:05:28.007584+00,2025-08-29 13:05:28.007584+00,,quebec
q21_enjeux_prioritaires,"Parmi les enjeux suivants, lesquels sont vos 3 priorités municipales les plus importantes ? (Classez par ordre d'importance : 1er, 2e et 3e choix)",Priorités municipales,priority_ranking,Sélectionnez vos 3 enjeux municipaux prioritaires et classez-les par ordre d'importance.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,21,2025-08-29 13:05:28.007584+00,2025-08-29 13:05:28.007584+00,"[""Transport et mobilité"",""Logement abordable"",""Environnement et espaces verts"",""Sécurité publique"",""Gestion des finances municipales"",""Services municipaux"",""Projet de tramway"",""Troisième lien routier"",""Lutte aux changements climatiques"",""Patrimoine et identité""]",quebec
q3_troisieme_lien,La Ville de Québec devrait activement soutenir la réalisation d'un troisième lien routier entre Québec et Lévis.,Mobilité et transport,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,3,2025-08-29 13:05:28.007584+00,2025-08-29 13:05:28.007584+00,,quebec
q4_priorite_mobilite_active,"Pour améliorer l'attractivité du centre-ville, la priorité devrait être donnée aux piétons, cyclistes et au transport collectif, même si cela implique de réduire l'espace dédié à l'automobile (stationnements, voies de circulation, etc.).",Mobilité et transport,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,4,2025-08-29 13:05:28.007584+00,2025-08-29 13:05:28.007584+00,,quebec
q5_quotas_logements_abordables,La Ville devrait obliger un nombre minimum de logements abordables dans chaque nouveau projet immobilier.,Habitation et aménagement urbain,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,5,2025-08-29 13:05:28.007584+00,2025-08-29 13:05:28.007584+00,,quebec
q6_reduction_depenses_taxes,La municipalité devrait réduire ses dépenses et ses taxes pour respecter la capacité de payer des citoyens.,Gouvernance et finances municipales,agreement,Cette question évalue la priorité accordée à la réduction de la charge fiscale municipale.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,6,2025-08-29 13:05:28.007584+00,2025-08-29 13:05:28.007584+00,,quebec
q7_immeubles_grande_hauteur,Les immeubles de grande hauteur devraient être favorisés pour maximiser l'utilisation des terrains disponibles.,Habitation et aménagement urbain,agreement,,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,7,2025-08-29 13:05:28.007584+00,2025-08-29 13:05:28.007584+00,,quebec
q8_interdire_essence_centre_ville,La Ville devrait interdire les véhicules à essence dans le centre-ville d'ici 2035.,Environnement et développement durable,agreement,Cette question évalue la priorité accordée aux mesures environnementales radicales en mobilité urbaine.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,8,2025-08-29 13:05:28.007584+00,2025-08-29 13:05:28.007584+00,,quebec
q9_protection_espaces_verts,"La Ville devrait mettre plus d'argent pour protéger et agrandir les espaces verts, même si cela nuit au développement de projets immobiliers.",Environnement et développement durable,agreement,Cette question évalue la priorité accordée aux espaces verts face à la pression immobilière.,standard,"[""FA"",""PA"",""N"",""PD"",""FD"",""IDK""]","[5,4,3,2,1]",,,,9,2025-08-29 13:05:28.007584+00,2025-08-29 13:05:28.007584+00,,quebec
